
center,left,right,steering,throttle,brake,speed
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_19_145.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_19_145.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_19_145.jpg, 0, 0, 0, 7.882267E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_19_428.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_19_428.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_19_428.jpg, 0, 0, 0, 7.785349E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_19_567.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_19_567.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_19_567.jpg, 0, 0, 0, 7.783908E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_19_706.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_19_706.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_19_706.jpg, 0, 0, 0, 7.945782E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_19_867.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_19_867.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_19_867.jpg, 0, 0, 0, 7.84038E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_20_027.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_20_027.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_20_027.jpg, 0, 0, 0, 7.808086E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_20_158.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_20_158.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_20_158.jpg, 0, 0, 0, 7.839586E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_20_308.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_20_308.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_20_308.jpg, 0, 0, 0, 8.111427E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_20_434.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_20_434.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_20_434.jpg, 0, 0, 0, 7.940778E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_20_562.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_20_562.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_20_562.jpg, 0, 0, 0, 7.968561E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_20_689.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_20_689.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_20_689.jpg, 0, 0, 0, 7.844994E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_20_812.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_20_812.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_20_812.jpg, 0, 0, 0, 7.825549E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_20_931.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_20_931.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_20_931.jpg, 0, 0, 0, 7.805698E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_21_081.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_21_081.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_21_081.jpg, 0, 0, 0, 7.793841E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_21_225.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_21_225.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_21_225.jpg, 0, 0, 0, 7.792104E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_21_350.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_21_350.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_21_350.jpg, 0, 0, 0, 7.836457E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_21_494.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_21_494.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_21_494.jpg, 0, 0, 0, 7.94135E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_21_648.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_21_648.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_21_648.jpg, 0, 0, 0, 8.023051E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_21_773.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_21_773.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_21_773.jpg, 0, 0, 0, 7.798959E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_21_904.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_21_904.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_21_904.jpg, 0, 0, 0, 7.869448E-05
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_22_052.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_22_052.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_22_052.jpg, 0, 0.3943518, 0, 0.539417
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_22_191.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_22_191.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_22_191.jpg, 0, 0, 0, 0.5583772
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_22_324.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_22_324.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_22_324.jpg, 0, 0, 0, 0.5501093
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_22_462.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_22_462.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_22_462.jpg, 0, 0, 0, 0.5424097
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_22_598.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_22_598.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_22_598.jpg, 0, 0, 0, 0.5348185
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_22_725.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_22_725.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_22_725.jpg, 0, 0, 0, 0.5283965
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_22_862.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_22_862.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_22_862.jpg, 0, 0, 0, 0.5210019
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_22_985.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_22_985.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_22_985.jpg, 0, 0, 0, 0.5147462
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_23_112.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_23_112.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_23_112.jpg, 0, 0, 0, 0.5085658
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_23_236.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_23_236.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_23_236.jpg, -0.3711348, 0, 0, 0.4973085
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_23_378.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_23_378.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_23_378.jpg, 0, 0, 0, 0.4874809
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_23_529.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_23_529.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_23_529.jpg, 0, 0, 0, 0.48066
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_23_662.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_23_662.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_23_662.jpg, 0, 0, 0, 0.4739347
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_23_785.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_23_785.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_23_785.jpg, 0, 0, 0, 0.4682451
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_23_927.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_23_927.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_23_927.jpg, 0, 0, 0, 0.4616937
E:\mll\demo\collage\car-behavioral-cloning\data\IMG\center_2025_11_26_03_30_24_070.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\left_2025_11_26_03_30_24_070.jpg, E:\mll\demo\collage\car-behavioral-cloning\data\IMG\right_2025_11_26_03_30_24_070.jpg, 0, 0, 0, 0.4552343
